domain,class
I0I*z*Z0I0,0
"R,U.R,U.U.U.R.R.d.R*R.R.U.R,R.u.R.R.D.r.R.U.U.R.R.D.u.u.U.S.r.A.u.u.U.D.u.r.",0
F.,0
Z.z.W.W.Z.Z.I.Z.Z.Z.Z.Z+W.F.Z.Z.z.Z.z.,0
Z.z.Z.I.Z+,0
w.X.W*W.X.,0
W*X.,0
x.W+W.X.X.X*X.X.,0
W.w.X.,0
f.W.Z.Z.Z.Z.W.W*W.W.W.w.Z.z.W.,0
"W.W.Z.Z.Z.Z.Z.z.Z.I.z.z.W,W.f.Z+Z.z.Z.Z.z.I.Z.Z.z.I.I.W*W.W.W.w.W.W.W.W.W.W.",0
"f.W.X,W.W.w.X.X+X.W*W.w.W,X.",0
z+Z.,0
F.,0
"F.w.w.F.X.X.G.X.x.x.X.X.X,X.X.x.X+X.x.W*W.w.Y.",0
"W.W.W.W.w.X.x.x.X.X.X.X,X.X.x.",0
W.W0W.W.W.W*W.w.,0
Z.Z.I.Z.z.z.W0W.f.W.W.w.Z.W*W.W.W.W.W.Z.z.Z.W*W.W.w.w.W.W+W.w.,0
w.X+W.W.Y*W.F.,0
y.,0
Z.I.Z.Z.Z.z.z.Z.Z.Z.,0
"z.z.Z.Z.Z.Z.Z,Z.I.Z,Z.z.I.z.z.Z*Z.z.z.Z.Z.Z.z.z.Z.Z+",0
"+Z.Z.I.Z+Z.Z.Z.z.z.Z,Z.z.I.i.i.Z,Z.Z.i.Z+Z.I.i.Z.Z.Z+Z.Z.z.Z.Z.Z,Z.Z,Z.z.z.z",0
"z.Z+Z.I.Z.Z.Z*Z.Z.z.Z,Z.Z,z,Z.I.Z+Z.z.z.i.Z+Z.I.z.Z,Z.Z.z.Z*Z.Z.Z.Z*Z.i.Z.Z.",0
W.W.w.W.Z.,0
W.W.w.F.Z.W*w*w*W.W.w.w.W.Z.W+W.W.W.w.w.,0
"Z.z.W,W.F.f.W*Z.W.W.f.w.w.",0
Z000,0
Z.z.I.I.,0
0I00,0
W.,0
"V.W,W.e.",0
i0i0,0
f0,0
Z*Z.,0
".W,i,Y.F.W+W.Z+Z.z.W.W.h.Z.Z.Z.W.Z.Z+Z.Z.I.Z.Z.W.w.W,Z+Z.Z.Z.Z.z.Y.Z,Y.W,W.F",0
W.F.F.,0
Z.Z.Z.Z.,0
W.W.,0
Z.Z.Z.z.I.Z.z.Z.,0
W.,0
"Z.W*Z,W*Z.",0
"I.Z.Z.I.Z,",0
w.Z.,0
Z.Z.Z.I.I.Z.Z+Z.z.z.,0
"i.I.i.I.Z*Z.i.Z,Z.z.Z,Z.",0
I*,0
Z.z.z.Z*w0W.W.W.Z*,0
Z.Z*z*,0
"Z,Z.I.Z00z*",0
0W.Z00,0
W.W.,0
00W.W.Z.Z*,0
"Z,Z.W00W.",0
X+,0
W.f.Z.Z*Z+,0
"W.w.W.Z,Z.z.i.z.",0
"W.Z+W*W.W.Z.W,W.w.Z.Z.w.",0
0W.W.W.,0
I0,0
"Z0W,W.W.W*W.F.W*W.W.W*W.W*W.W+W.",0
0z*i0,0
Z.z.Z.i.z.i.Z+Z.I.I.,0
"X,",0
"v.V.V.V.X.V,V.E.V.V.E.X.G.x.V*V.V.X.x.X,X.",0
W.,0
Z.I.i.z.Z+Z.Z.Z*Z.Z.z.Z.Z.,0
Z.I.,0
w.w.,0
"Z.z.Z.z.Z,Z.Z.Z.i.",0
Z.Z.Z.Z.,0
Z.I.I.Z.,0
z.z.I.I.z.Z.Z.z.Z.I.,0
"F.F.f.f.Z.Z.Z.Z.Z.I.W+W.w.F.f.f.Z.Z.Z.z.I.i.Z,Z.Z.Z,i,W.W.w.w.W.w.",0
Z*,0
g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.,0
"X,g,x,x,",0
Z.z.Z.z.,0
Z*Z0,0
Y.Y.X.Y*Y.y.Y.Y.Z0Z.z.W.,0
Z.i.I.Z*Z.Z0Z.Z.I.I.z.,0
"I.i.Z.Z.Z.Z.Z.z.Z*Z.I.I.z.z.Z,Z.Z.z.",0
"Z.Z*Z.Z.Z.Z.Z,Z.Z.Z.Z.Z*Z.Z.z.Z.z.",0
z.Z*Z.z.Z.Z.z.i.I.,0
I.I.i.Z.,0
Z.I.,0
f0f0f0f0,0
z0i0i0i0f0,0
Z.I.i.i.Y00000Y.Z.,0
Z00000W.,0
"z.Z.Z.z.Z,Z.z.i.",0
.u.r.u.R.U.r.r.A.D.D.a.r.R.R.R.R.r.S.S.R.U.V.r.R.R.R.U.U.U.R.U.R.U.A.r.U.U.w,0
X.X0X.X.X+X.x.x.X.G.G.X.x.,0
Y00W.,0
z.F.Z00Z.Z.W.Z.,0
"Z.Z.Z.z.I.W.W.Z.Z*Z.Z.Z.Z.Z.I.Z.z.I.I.z.Z0Z.Z.z.I.Z.W.W.w.w.f.W.Z,Z.z.Z.I.I.",0
"X.X+X.X,x.",0
"W00Z.Z,Z.Z+Z.",0
X.W00W.,0
"Y00W.w.X.X+X.X,X.X.X.",0
"X.X00X.X,X.",0
0Z*Z.Z.I.I.I.,0
.W.W.W.F.W.W.Z*Z.z.I.Z.Z*Z.Z.Z.z.Z*Z+Z.Z.Z.z.Z*Z.Z.Z.z.Z*Z.Z.Z.Z.z.Z*Z.Z.Z.Z,0
".w.W.w.Z*Z.Z.z.Z.Z*Z.Z.Z.z.Z*Z.Z.Z.Z.Z*Z.Z.Z.Z.Y*Z,W*W.W+Z*I*Z.Z.Z.z.Z*Z.z.I",0
W0Y.,0
z*z*z*z*z*Z0z*,0
z0Z+Z*z*Y+,0
z00I00,0
Z+Z*Z+z*z*I*z*z*z*z*,0
"y+Y.Y+Y.Y+Y.Y+Y.Y.Y+Y.Y+Y.Y+Y.Y+Y.Y+Y.Y.Y+Y.Y+Y.Y+Y.Y+y,Y.y.Y.y.y.y.y,Y+Y.Y+",0
y+y+y*y+h+H+H+y*,0
"h+y*y+H+y+y+h+H+y*y+y*y+y*y+H+H+y+y+H+y+y+H+H+H+h+H+h+h+y+y,y.Y.y.y.y,Y+y+H+",0
Z0W.,0
z*z0Z*,0
0z*,0
Z0,0
Z*z0,0
Z0Z*,0
z0z*Z+Z*z*I*z+Z*I*z*,0
z*Z00Z*z*Z*Z*,0
"Y0Y,Z00Z+Z*",0
"+y*y+y*y+Y*Y+y+H+H+H+y*y+H+Y,Y.y.y,Y+y+H+h+H+H+h+h+H+y+H+h+H+y*y+h+H+H+H+H+y",0
z.,0
z.Z*W.W.W.W.W.X*X.Z.F.W.W.X0X.Z.W.W.W.,0
i0i0i0i0i0,0
0000,0
y.y.Y.w.W.w.,0
"Y.y.H.z.Z,Y.W.W.",0
"w.w.w.W00W.W.Z00Z.Y,Y.Z.z.W.F.W.W.W.",0
Y.w.F.F.f.,0
"Z000W.Z.Z.z.Z.Z.Z.Z.Z.W,W.w.w.W.W.W.w.F.F.W.",0
"Z.Y.Y.y.Y,Y.y.Z00w000W.F.f.",0
"W.F.F.W.Z*z00H00Y.z.y.F.W.W*Z.W.W.w.w.W,W.w.F.F.W,W.w.W.w.",0
0z0,0
000Z.z.Z.Z.i.z.I.Z.Z.Z.,0
"Z.Z.Z.i.I.I.Z.Z.Z.W,",0
W.W.W.w.Z*z*W0000W.,0
X.X.X.H.X.x.Y.,0
"Y.Y.Y.y.Z,Y.y.Z.Y.z.y.I.Y,",0
h0h0h0i0,0
w.W.W.w.Z+Z00Z.w.W.W.W.Z+z*W.W.w.w.z.Z+w+W.W.Z.z.w.,0
z*I*I*z*w0Z*Z*z*z*,0
i0i0i0i0f0,0
H.y.,0
0I00,0
I0Z.Z.z.i.Z.Z*z0,0
0z00,0
Z.Z0,0
"Z,Z*",0
Y.h.w.Y*,0
w.Z*Z.Z.I.,0
z00,0
"Z,W*Z.Z0Z*Z00Z.Z.I.Z.",0
Z.I.i.I.,0
y.z.Z0Z*z*z00Z.Z.z.Z*,0
0z*Z.Z.Z0h0,0
"w.Y0Y.z.Z,Z0z00Z.Z.Z.Z.Z.W*W.",0
z*z0,0
Z.Z*z+W.z.F.W.W.Z*z0W.w.W.Z00Z.Z.z.Z.Z.Z.,0
z.Z00,0
"I.Z.X*Z.Z*z*z*W0W+W.F.W.W.W.w.W.W.w.W.W.Z*Z,",0
z*z0,0
Z0W.Z*z0Z*,0
Z.Z.Z000,0
z.Z*z*z*,0
z.z.Z.z.Z.Z.Z+Z.Z.z.z.z.Z00z*,0
z*Z*,0
"w.Z,Z*W.Z0z0",0
Y*Z.Z0Z.W0W.F.f.Z000,0
Z*,0
W.Z00W*W.,0
0000Z*,0
i0i0i0i0i0,0
0W*W.w.Z+Z000,0
Z.,0
"Z.Z.Z*z*z*Z.Z0Z.Z,Z0Z.z.",0
"W+W.W+W.W*W.W+W.W.w.W.Z*Z.W+W0W.W.W.W00W.W*W.W*W.W,W.W,W.",0
F.,0
z.,0
i0i0i0i0i0,0
w.F.f.i.,0
Y.Y0y00,0
"Y0Y,Y*Y,Y.",0
"w.F.F.F.Z0W.w.w.W.W.Z,W.W.W.W.w.Z+Z.Z.i.Z.Z.Z0W.W.W.W.F.",0
I.Z.z.y.W.Z00Z.I.Z.Z.Z.,0
Z00W.,0
"Y,X00",0
i.Z00Z.Y00Y.,0
Y.y.Y.H.,0
W.,0
Z.Z.Z.z.W00W.W.I.w.W.,0
Z.Z.z.Z.Z00Z.z.I.i.Z.,0
W00W.Z+,0
"Y+X,",0
W.F.W.w.,0
"V.y.Y.V.X,x+X,X.X+X00",0
"X.x.V00V.v.X+X,X*X.X,y,V.E.X+x,",0
X+X00,0
F.,0
z.Z.,0
Z.Z.Z.Z.,0
"W.w.Y.W.W.W.F.w.W.W.X,",0
W.Y.W.W.,0
Z.Z.Z.z.,0
"Y00Y,Y.Y+Y00",0
Z.i.I.I.,0
"X.Y,y+Y.X*x*y+y+W.H.w.w.F.X,F,Y.",0
h.Y.Y.y.Y.H.y.Y.Y.H.H.H.Y.Y.Y.Y.Y.H.Y.Y.Y.Y.y.y.y.Y.Y.y.y.H.y.Y.Y.H.y.y.Y.Y.,0
"Z.F.W.W.Y,Y.Y.Y.",0
Z.z.,0
Z.,0
"0X.X.X,X.Y,W.W.X+X.",0
Z.z.z.z.,0
"I+i+I+i+i+z+z,z,Z+z+I+i+I+I+i+i+I+z+I+i+I+z*z+i+I+I+I+I+I+I+I+I+z+I+z+I+z+z+",0
z.w.W.W.,0
W.,0
S0s0,1
s0,1
V0,1
W00,1
W*W.,1
u*r0U+,1
s*s*s0,1
0S*,1
B0s*,1
S*s0,1
0s*,1
r*b*,1
s0B0,1
0V*v0,1
s*,1
s+,1
s0S*,1
s0S*,1
s*s*S+s*,1
B*s0,1
V00,1
S*,1
S000,1
v*V00,1
s0,1
v+,1
s*S0,1
s*,1
S+S*A*S00,1
s0,1
S000,1
00s*,1
s0S*,1
s*S00,1
V0,1
s00S*,1
S+,1
S000,1
B*b*s*,1
B*,1
00S*,1
"S*B*s+S*B*S,S+s*S,S*s*s*s*s*B*S+S*s+s,S,S*S,S*",1
s0S*S0s*,1
s00s*,1
s00,1
00S+,1
"s,",1
S0S*s*,1
Z0Z+Z0Z.Z0Z+,1
Z0Z+Z0Z*Z0Z+,1
00,1
s*,1
"Z,Y*U.Z*Z*z+Z*Z+Z*Z*Z.Z*z+W*z*Z*Z.Z*Z,z+z+",1
s*,1
00,1
S00,1
R00,1
A*r0,1
R+W0,1
s00S*B*s+s*B*,1
B*B*,1
B*s*s*B*,1
"0S+S*S,s,S+S,S*S+",1
0S*,1
s+T*b*s00,1
S00s*,1
s0s*s*s*,1
S*s0s*S+S*,1
s00,1
S0S*,1
s*s0,1
s*,1
00,1
".Z,s,z,Z.S.w.S,s,z,z,I,W,z,y,z,z,s,W.z,i,B,z.z,s.S.S.Z.Z,Z.z.S,s,I,s,z,y.t,s",1
"i+z,Z.Z,B,S.Z,Z.z.Z.Z,s,z,Z.S.w.S,s,z,z,I,W,z,y,z,z,s,W.z,i,B,z.z,s.S.S.Z.Z,",1
Z00,1
Z00Z+,1
e+e+E+E+E+E+E+E+v*v*v0,1
s0,1
S*S.S*,1
V00,1
S00,1
00V*,1
s*,1
R0,1
"y,y,h,H,i,y,H,z,y,z,y,y,z,H,y,y,h,z,z,H,y,y,y,y,y,z,y,y,y,y,y,y,y,z,y,y,y,y,",1
S*S.S*S.,1
"S*S,S*S.",1
"y+y*Y,Y+Y.s,Y+V,Y*Y,Y+y*y*Y0Y,Y,y,y,Y0Y,Y*Y,y.y.Y+Y,y,y.y,h,",1
"y+y*Y,Y+Y.s,Y+V,Y*Y,Y+y*y*Y0Y,Y,y,y,Y0Y,Y*Y,y.y.Y+Y,y,y.y,h,",1
S00,1
00,1
V*V0E0,1
"S,S*s0",1
"W*S,S*",1
r0,1
S*w+s*S00W+B*,1
W00R+,1
B*F*B*,1
v*v00,1
U0U*,1
"S*S,S*",1
Z0Z+Z0Z+,1
Z0Z+Z0Z+,1
U00,1
S*s+s*s+,1
00,1
v00,1
s0S+s*s*s*B*s*B*,1
s*,1
s0,1
00,1
S00s0s*,1
i+Z0i0i0,1
S00,1
B0,1
00,1
S000,1
s0,1
R000,1
s*s*,1
B*,1
I*v0,1
S000S*,1
"S,S,",1
W*,1
S+s+,1
U00,1
"W00R,",1
"W00R,",1
S*W.S*,1
S*,1
"S*S,S*S.",1
W*W.,1
Z0,1
w0,1
B*,1
B*,1
V*E*,1
u00,1
v00,1
"W*S,S*",1
S0,1
s*,1
00,1
S*S*,1
Z0y*Z0Z+,1
Z0Z.Z0Z*,1
Z0Z+Z0Z+,1
Z0Z.Z0Z+,1
Z0Z.Z0Z+,1
Z0Z+Z0Z+,1
R00R*,1
Z0Z+Z0Z+Z0Z+,1
Z0Z+Z0Z+,1
Z0Z+Z0Z+Z0Z+,1
Z0Z+Z0Z.Z0Z+,1
W00,1
W0R*,1
Z0Z.Z0Z+,1
Z0Z+Z0Z.Z0Z+,1
Z0Z.Z0Z+,1
0V+,1
z*z0Z+,1
Z0Z+Z0Z+,1
F*v0R*,1
W0Z.Z0Z+,1
z*z0Z+,1
Z0Z+Z0Z+Z0Z*,1
Z0Z+Z0Z+,1
W0Z+Z0Z+,1
Z0Z+Z0Z+,1
Z0Z+Z0Z+,1
u0,1
W0,1
Z0Z+Z0Z+,1
S*w+s*,1
r0,1
u00R*,1
Z0Z+,1
z*v0Z*,1
z*v0Z*,1
z*V0Z*,1
s+,1
Z0Z+Z0Z+,1
Z0Z+Z0Z+,1
Z0Z+Z0Z+,1
R00,1
Z0Z+Z0Z+,1
"b,",1
S00,1
y*r0,1
U00,1
U00,1
Z0,1
W00,1
"u*w0W,",1
Z0Z.Z0z*,1
Z0Z.Z0z*,1
W00S*,1
"S+S,W*S.S+S.S*S,s+W*S.S,s,s,",1
U00,1
U00,1
U00W*,1
U00W*,1
V00U*,1
V00U*,1
Z0Z+Z0Z+,1
