class,strong_p,weak_p,weak_np,strong_np,duration_s,duration_m,duration_l,size_s,size_m,size_l
0,0.0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.0,0.0,0.3076923076923077,0.0,0.0,0.3076923076923077
0,0.0006148800983808157,0.000819840131174421,0.000819840131174421,0.10022545603607297,0.10186513629842181,0.0,0.0006148800983808157,0.09899569583931134,0.003484320557491289,0.0
0,0.0,0.04878048780487805,0.07317073170731707,0.3170731707317073,0.0,0.0,0.43902439024390244,0.0,0.0975609756097561,0.34146341463414637
0,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,0.0,0.3076923076923077,0.0,0.0,0.3076923076923077
0,0.0,0.0,0.0,0.3076923076923077,0.15384615384615385,0.0,0.15384615384615385,0.0,0.15384615384615385,0.15384615384615385
0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285
0,0.0,0.0,0.0,0.3684210526315789,0.2631578947368421,0.0,0.10526315789473684,0.0,0.10526315789473684,0.2631578947368421
0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
0,0.0,0.0,0.06060606060606061,0.36363636363636365,0.0,0.0,0.42424242424242425,0.0,0.24242424242424243,0.18181818181818182
0,0.008849557522123894,0.035398230088495575,0.13274336283185842,0.3008849557522124,0.0,0.0,0.4778761061946903,0.0,0.22123893805309736,0.25663716814159293
0,0.0,0.0,0.06451612903225806,0.3548387096774194,0.16129032258064516,0.0,0.25806451612903225,0.0,0.25806451612903225,0.16129032258064516
0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285
0,0.0,0.04081632653061224,0.14285714285714285,0.2653061224489796,0.30612244897959184,0.02040816326530612,0.12244897959183673,0.0,0.12244897959183673,0.32653061224489793
0,0.0,0.0,0.12121212121212122,0.30303030303030304,0.30303030303030304,0.0,0.12121212121212122,0.0,0.12121212121212122,0.30303030303030304
0,0.0,0.0,0.05263157894736842,0.3157894736842105,0.0,0.0,0.3684210526315789,0.0,0.3684210526315789,0.0
0,0.015384615384615385,0.015384615384615385,0.1076923076923077,0.3230769230769231,0.0,0.0,0.46153846153846156,0.0,0.3230769230769231,0.13846153846153847
0,0.0,0.058823529411764705,0.0,0.29411764705882354,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.0,0.23529411764705882,0.11764705882352941
0,0.0,0.043478260869565216,0.08695652173913043,0.2608695652173913,0.0,0.0,0.391304347826087,0.0,0.0,0.391304347826087
0,0.0,0.03636363636363636,0.14545454545454545,0.2727272727272727,0.0,0.0,0.45454545454545453,0.0,0.0,0.45454545454545453
0,0.045112781954887216,0.03759398496240601,0.09022556390977443,0.3082706766917293,0.0,0.0,0.48120300751879697,0.0,0.0,0.48120300751879697
0,0.024691358024691357,0.037037037037037035,0.08641975308641975,0.32098765432098764,0.0,0.0,0.4691358024691358,0.0,0.0,0.4691358024691358
0,0.0,0.0,0.07692307692307693,0.23076923076923078,0.0,0.0,0.3076923076923077,0.0,0.23076923076923078,0.07692307692307693
0,0.0,0.023255813953488372,0.16279069767441862,0.2558139534883721,0.0,0.0,0.4418604651162791,0.0,0.3953488372093023,0.046511627906976744
0,0.06896551724137931,0.034482758620689655,0.10344827586206896,0.20689655172413793,0.0,0.0,0.41379310344827586,0.0,0.3448275862068966,0.06896551724137931
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.2727272727272727
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.09090909090909091,0.0,0.0,0.18181818181818182,0.0,0.09090909090909091,0.18181818181818182,0.0,0.2727272727272727,0.0
0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285
0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285
0,0.02040816326530612,0.05442176870748299,0.06802721088435375,0.3401360544217687,0.0,0.04081632653061224,0.4421768707482993,0.0,0.1836734693877551,0.29931972789115646
0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0
0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.2727272727272727,0.0,0.0,0.2727272727272727
0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0
0,0.0,0.05263157894736842,0.10526315789473684,0.21052631578947367,0.0,0.0,0.3684210526315789,0.0,0.0,0.3684210526315789
0,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.3076923076923077,0.0,0.15384615384615385,0.15384615384615385
0,0.0,0.07692307692307693,0.0,0.23076923076923078,0.0,0.0,0.3076923076923077,0.0,0.0,0.3076923076923077
0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285
0,0.0,0.08695652173913043,0.08695652173913043,0.21739130434782608,0.0,0.0,0.391304347826087,0.0,0.0,0.391304347826087
