domain,class
I*z*Z0I0,0
S.r.S.S.U.,0
.Z.Z.Z.Z+W,0
z.Z.I.Z+,0
X.W*W.X.,0
X.,0
W.X.X.X*X.,0
w.X.,0
W.W*W.W.W.,0
.Z.Z.z.I.I,0
"W*W.w.W,X.",0
Z.,0
X.X.G.X.x.,0
.w.X.x.x.X,0
W0W.W.W.W*,0
W.W.W.W.W.,0
W.W.Y*W.F.,0
Z.z.z.Z.Z.,0
.Z.Z.Z.z.z,0
.I.I.Z+Z.Z,0
Z.Z*Z.Z.z.,0
W.w.W.Z.,0
w*w*W.W.w.,0
.W.W.f.w.w,0
00,0
z.I.I.,0
00,0
"W,W.e.",0
i0,0
Z.,0
W.W.F.Y.H.,0
F.F.,0
Z.Z.Z.,0
W.,0
Z.Z.z.I.Z.,0
"W*Z,W*Z.",0
"Z.Z.I.Z,",0
Z.,0
I.I.Z.Z+Z.,0
"Z.i.Z,Z.z.",0
Z*w0W.W.W.,0
Z*z*,0
Z.I.Z00z*,0
.Z00,0
W.,0
W.W.Z.Z*,0
Z.W00W.,0
f.Z.Z*Z+,0
"w.W.Z,Z.z.",0
".W.Z.W,W.w",0
.W.W.,0
W.W*W.W+W.,0
*i0,0
i.Z+Z.I.I.,0
"X.V,V.E.V.",0
+Z.Z.Z*Z.Z,0
I.,0
w.,0
".z.Z,Z.Z.Z",0
Z.Z.Z.,0
I.I.Z.,0
.I.I.z.Z.Z,0
.w.F.f.f.Z,0
g.g.g.g.g.,0
"g,x,x,",0
z.Z.z.,0
Z0,0
Y.Z0Z.z.W.,0
.Z*Z.Z0Z.Z,0
".z.Z,Z.Z.z",0
*Z.Z.z.Z.z,0
.z.Z.Z.z.i,0
I.i.Z.,0
I.,0
f0f0f0,0
i0i0i0f0,0
i.i.Y00000,0
0000W.,0
"Z.z.Z,Z.z.",0
.U.A.D.s.R,0
x.x.X.G.G.,0
0W.,0
F.Z00Z.Z.W,0
Z.z.Z.I.I.,0
"X+X.X,x.",0
"0Z.Z,Z.Z+Z",0
W00W.,0
"X+X.X,X.X.",0
"X00X.X,X.",0
*Z.Z.I.I.I,0
Z.Z.z.Z*Z+,0
z.Z.Z*Z.Z.,0
Y.,0
*z*z*z*Z0z,0
Z+Z*z*Y+,0
0I00,0
+z*z*I*z*z,0
+Y.Y+Y.Y.Y,0
y+y*y+h+H+,0
y+y*y+y*y+,0
W.,0
z0Z*,0
*,0
z0,0
Z*,0
I*z+Z*I*z*,0
Z00Z*z*Z*Z,0
"Y,Z00Z+Z*",0
",Y.y.y,Y+y",0
.W.X*X.Z.F,0
i0i0i0i0,0
00,0
y.Y.w.W.w.,0
"y.H.z.Z,Y.",0
.W.F.W.W.W,0
w.F.F.f.,0
.Z.z.Z.Z.Z,0
.Z00w000W.,0
.W.W.w.w.W,0
0,0
.i.z.I.Z.Z,0
