domain,class
I*z*Z0I0,0
.U*U.U.U.R,0
.Z.Z.Z+W.F,0
z.Z.I.Z+,0
X.W*W.X.,0
X.,0
W+W.X.X.X*,0
w.X.,0
*W.W.W.w.Z,0
W.W.W.Z.z.,0
W.W.w.X.X+,0
Z.,0
.G.X.x.x.X,0
W.w.X.x.x.,0
.W.W.W*W.w,0
w.W.W+W.w.,0
X+W.W.Y*W.,0
Z.Z.z.z.Z.,0
.z.z.Z*Z.z,0
.Z.Z+Z.Z.z,0
.Z+Z.z.z.i,0
W.w.W.Z.,0
W.W.W.w.w.,0
"z.W,W.F.f.",0
00,0
z.I.I.,0
00,0
"W,W.e.",0
i0,0
Z.,0
W.W.h.Z.Z.,0
F.F.,0
Z.Z.Z.,0
W.,0
.Z.z.I.Z.z,0
"W*Z,W*Z.",0
"Z.Z.I.Z,",0
Z.,0
.I.I.Z.Z+Z,0
I.i.I.Z*Z.,0
.z.Z*w0W.W,0
Z*z*,0
Z.I.Z00z*,0
.Z00,0
W.,0
W.W.Z.Z*,0
Z.W00W.,0
f.Z.Z*Z+,0
"Z,Z.z.i.z.",0
Z+W*W.W.Z.,0
.W.W.,0
.W*W.W*W.W,0
*i0,0
.i.z.i.Z+Z,0
.E.X.G.x.V,0
Z*Z.Z.z.Z.,0
I.,0
w.,0
"Z,Z.Z.Z.i.",0
Z.Z.Z.,0
I.I.Z.,0
.Z.Z.z.Z.I,0
.w.F.f.f.Z,0
.g.g.g.g.g,0
"g,x,x,",0
z.Z.z.,0
Z0,0
.y.Y.Y.Z0Z,0
I.Z*Z.Z0Z.,0
".z.z.Z,Z.Z",0
.Z.Z*Z.Z.z,0
.z.Z.Z.z.i,0
I.i.Z.,0
I.,0
f0f0f0,0
i0i0i0f0,0
.i.i.Y0000,0
0000W.,0
".z.Z,Z.z.i",0
",R.R+R.R+R",0
X.G.G.X.x.,0
0W.,0
.Z00Z.Z.W.,0
.Z0Z.Z.z.I,0
"X+X.X,x.",0
"Z.Z,Z.Z+Z.",0
W00W.,0
"w.X.X+X.X,",0
"X00X.X,X.",0
Z.Z.I.I.I.,0
.Z.Z.Z.Z+Z,0
z.Z*Z.z.Z.,0
Y.,0
z*z*z*z*Z0,0
Z+Z*z*Y+,0
0I00,0
I*z*z*z*z*,0
+Y.Y+Y.Y+Y,0
*y+h+H+H+y,0
Y+y+H+h+H+,0
W.,0
z0Z*,0
*,0
z0,0
Z*,0
z*I*z+Z*I*,0
Z00Z*z*Z*Z,0
"Y,Z00Z+Z*",0
H+H+H+h+G+,0
W.W.W.W.X*,0
i0i0i0i0,0
00,0
y.Y.w.W.w.,0
"H.z.Z,Y.W.",0
"Z00Z.Y,Y.Z",0
w.F.F.f.,0
0W.Z.Z.z.Z,0
Z00w000W.F,0
",W.w.F.F.W",0
0,0
.Z.i.z.I.Z,0
.Z.i.I.I.Z,0
.Z*z*W0000,0
X.X.H.X.x.,0
"Y.z.y.I.Y,",0
h0h0i0,0
Z+w+W.W.Z.,0
w0Z*Z*z*z*,0
i0i0i0f0,0
y.,0
00,0
Z.Z.z.i.Z.,0
00,0
Z0,0
Z*,0
h.w.Y*,0
Z*Z.Z.I.,0
0,0
*Z.Z0Z*Z00,0
I.i.I.,0
0Z*z*z00Z.,0
*Z.Z.Z0h0,0
z00Z.Z.Z.Z,0
z0,0
Z*z+W.z.F.,0
Z00,0
Z.X*Z.Z*z*,0
z0,0
W.Z*z0Z*,0
Z.Z000,0
Z*z*z*,0
Z.z.Z.Z.Z+,0
Z*,0
"Z,Z*W.Z0z0",0
Z0Z.W0W.F.,0
Z00W*W.,0
00Z*,0
i0i0i0i0,0
*W.w.Z+Z00,0
.Z*z*z*Z.Z,0
0W.W*W.W*W,0
i0i0i0i0,0
F.f.i.,0
Y0y00,0
"Y,Y*Y,Y.",0
".W.W.Z,W.W",0
.W.Z00Z.I.,0
0W.,0
X00,0
Z00Z.Y00Y.,0
y.Y.H.,0
z.W00W.W.I,0
.Z.Z00Z.z.,0
0W.Z+,0
"X,",0
F.W.w.,0
"V.X,x+X,X.",0
"X+X,X*X.X,",0
X00,0
Z.,0
Z.Z.Z.,0
W.W.W.F.w.,0
Y.W.W.,0
Z.Z.z.,0
"0Y,Y.Y+Y00",0
i.I.I.,0
.H.w.w.F.X,0
y.y.Y.Y.Y.,0
"W.W.Y,Y.Y.",0
z.,0
"X.Y,W.W.X+",0
z.z.z.,0
I+z+z+I+z+,0
w.W.W.,0
s0,1
0,1
W.,1
r0U+,1
s*s0,1
*,1
s*,1
s0,1
*,1
b*,1
B0,1
*v0,1
S*,1
S*,1
s*S+s*,1
s0,1
0,1
00,1
V00,1
S0,1
S*A*S00,1
00,1
s*,1
S*,1
S00,1
0S*,1
00,1
b*s*,1
S*,1
",S+s*S,S*s",1
S*S0s*,1
0s*,1
0,1
S+,1
S*s*,1
Z+Z0Z.Z0Z+,1
Z+Z0Z*Z0Z+,1
+Z*Z+Z*Z*Z,1
0,1
0,1
r0,1
W0,1
